TIME              V(N27236)         I(R_RK2)              Pn 

0.014001          99.91836722          12.18813382          1217.81843
0.014002          99.83676275          31.93221749          3188.00922
0.014003          99.75513294          51.47475184          5134.87071
0.014004          99.67344527          70.82539674          7059.41131
0.014005          99.58603302          89.94869902          8957.63411
0.014006          99.46548777          108.8495777          10826.77634
0.014007          99.3391593          127.5251705          12668.24323
0.014008          99.21227639          145.9880586          14483.80762
0.014009          99.08505363          164.2096088          16270.71789
0.01401          98.95745634          182.2087014          18030.90961
0.014011          98.82943          199.9497533          19760.92015
0.014012          98.70108625          217.4681098          21464.33866
0.014013          98.57235829          234.7690987          23141.74371
0.014014          98.44339207          251.8280728          24790.8097
0.014015          98.31419263          268.6457418          26411.68921
0.014016          98.18475831          285.2258603          28004.83216
0.014017          98.05503429          301.5780842          29571.24939
0.014018          97.92518152          317.6846056          31109.32267
0.014019          97.79521322          333.5462921          32619.23075
0.01402          97.66511936          349.1878          34103.46817
0.014021          97.53484588          364.5565493          35556.96685
0.014022          97.40458303          379.686615          36983.21642
0.014023          97.27429286          394.5796911          38382.46043
0.014024          97.14399124          409.2291223          39754.15027
0.014025          97.01362604          423.643788          41099.22002
0.014026          96.88335058          437.8083517          42416.34002
0.014027          96.75318397          451.7239909          43705.7344
0.014028          96.62312259          465.3944081          44967.86095
0.014029          96.49310159          478.8280535          46203.60401
0.01403          96.36326906          492.0319523          47413.80741
0.014031          96.23372491          504.9413247          48592.38454
0.014032          96.1042461          517.6304957          49746.48855
0.014033          95.9750503          530.0752196          50873.99586
0.014034          95.84615372          542.2704733          51974.53914
0.014035          95.71754234          554.2199224          53048.56889
0.014036          95.58924208          565.9236401          54096.21183
0.014037          95.46118943          577.3893031          55118.26964
0.014038          95.33354692          588.6051761          56113.81917
0.014039          95.20632984          599.5729045          57083.13571
0.01404          95.07947535          610.31696          58028.61635
0.014041          94.9530541          620.782433          58945.18794
0.014042          94.82713813          631.0107207          59836.94077
0.014043          94.70169595          641.0021407          60703.98983
0.014044          94.57667417          650.757066          61546.43899
0.014045          94.45222633          660.2659666          62363.59052
0.014046          94.32835782          669.5305817          63155.72028
0.014047          94.20505437          678.5542664          63923.24156
0.014048          94.0823442          687.3377345          64666.34532
0.014049          93.96016767          695.8873247          65385.68971
0.01405          93.83861253          704.215291          66082.58583
0.014051          93.71788748          712.2610432          66751.6003
0.014052          93.59767411          720.0902335          67398.771
0.014053          93.47819392          727.6869352          68022.86044
0.014054          93.35945643          735.0465053          68623.54219
0.014055          93.24144415          742.1721546          69201.2035
0.014056          93.12410898          749.0694289          69756.42313
0.014057          93.00758603          755.7321355          70288.82161
0.014058          92.89187666          762.1623583          70798.69178
0.014059          92.77696875          768.363132          71286.40229
0.01406          92.66275686          774.3578529          71754.13345
0.014061          92.54955547          780.0858339          72196.59716
0.014062          92.43717429          785.5992713          72618.57676
0.014063          92.32564229          790.8947199          73019.863
0.014064          92.21492368          795.970418          73400.35135
0.014065          92.1051499          800.8224599          73759.87271
0.014066          91.99631976          805.4528963          74098.7022
0.014067          91.88841538          809.8646389          74417.17834
0.014068          91.78138781          814.0618795          74715.72906
0.014069          91.67535407          818.0416524          74994.25813
0.01407          91.57023592          821.8242484          75254.64031
0.014071          91.46620039          825.3611749          75492.65062
0.014072          91.36317026          828.6959576          75712.28987
0.014073          91.26112958          831.8275091          75913.5181
0.014074          91.16010847          834.7513908          76096.02733
0.014075          91.06004954          837.4711092          76260.16069
0.014076          90.96107422          839.985412          76405.9754
0.014077          90.86318443          842.2964521          76533.73787
0.014078          90.76635462          844.4068257          76643.72939
0.014079          90.67060079          846.3182955          76736.18831
0.01408          90.57579697          848.0500862          76812.81243
0.014081          90.48229871          849.5535796          76869.56076
0.014082          90.38985356          850.8735227          76910.33311
0.014083          90.29843764          852.0084242          76935.02956
0.014084          90.20818298          852.9531413          76943.35304
0.014085          90.11907703          853.7099527          76935.55299
0.014086          90.03111341          854.2810624          76911.87521
0.014087          89.94423422          854.6686445          76872.51674
0.014088          89.85854056          854.8742028          76817.74823
0.014089          89.77403017          854.8999087          76747.8102
0.01409          89.6905862          854.7628043          76664.17698
0.014091          89.60845248          854.4207298          76563.31936
0.014092          89.52748687          853.9140769          76448.78131
0.014093          89.44767045          853.2411763          76320.43555
0.014094          89.3690444          852.3988072          76178.06685
0.014095          89.29156002          851.388377          76021.79637
0.014096          89.21530573          850.2129098          75852.00468
0.014097          89.14027252          848.8746215          75668.9151
0.014098          89.06644721          847.375369          75472.71357
0.014099          88.99378196          845.7161325          75263.4771
0.0141          88.92224592          843.9137052          75042.70203
0.014101          88.85217404          841.932433          74807.52707
0.014102          88.7831905          839.8045057          74560.52341
0.014103          88.71541837          837.5318795          74301.99109
0.014104          88.64888857          835.1119322          74031.74462
0.014105          88.58358652          832.5462116          73749.92937
0.014106          88.51946533          829.8351431          73456.56318
0.014107          88.45659448          826.9836727          73152.15938
0.014108          88.39497451          823.9938904          72836.91894
0.014109          88.33457923          820.8672231          72510.96076
0.01411          88.2753112          817.6170661          72175.40095
0.014111          88.21743279          814.2105602          71827.56537
0.014112          88.16075925          810.6825116          71470.38573
0.014113          88.10528142          807.030759          71103.67214
0.014114          88.0509962          803.2508832          70727.04046
0.014115          87.99795994          799.3489533          70341.07717
0.014116          87.94616115          795.3269442          69945.9516
0.014117          87.8955878          791.1860711          69541.76478
0.014118          87.84620493          786.9257682          69128.4423
0.014119          87.79806155          782.5526076          68706.60201
0.01412          87.75103905          778.0777095          68277.12747
0.014121          87.70541322          773.472017          67837.68287
0.014122          87.66096432          768.7668867          67390.84663
0.014123          87.6176903          763.9600312          66936.41342
0.014124          87.57562648          759.0501126          66474.28914
0.014125          87.53475914          754.0393633          66004.65405
0.014126          87.49507181          748.9266291          65527.38919
0.014127          87.45659137          743.7194081          65043.16437
0.014128          87.41931457          738.4195218          64552.12846
0.014129          87.38322434          733.0277543          64054.3287
0.01413          87.34820261          727.5510729          63550.27852
0.014131          87.3145649          721.9743081          63038.87258
0.014132          87.28204307          716.3172574          62521.63371
0.014133          87.25063573          710.5764907          61998.25055
0.014134          87.22040243          704.7570363          61469.19232
0.014135          87.19133158          698.8606285          60934.58879
0.014136          87.16341755          692.8878108          60394.46957
0.014137          87.13664662          686.8408034          59849.00437
0.014138          87.11099544          680.7177755          59298.00304
0.014139          87.08649096          674.5270848          58742.19687
0.01414          87.0630211          668.2758135          58182.11125
0.014141          87.04084253          661.9443655          57616.19528
0.014142          87.01973655          655.5563458          57046.34051
0.014143          86.99969971          649.1094403          56472.32639
0.014144          86.98076402          642.6033711          55894.13218
0.014145          86.96290664          636.035959          55311.53572
0.014146          86.94613964          629.4159679          54725.28864
0.014147          86.93045505          622.7449112          54135.49851
0.014148          86.91583502          616.0231098          53542.16298
0.014149          86.90227167          609.2481225          52945.04586
0.01415          86.88967172          602.4325069          52345.16276
0.014151          86.87830113          595.5690979          51742.03143
0.014152          86.86790257          588.6626701          51135.89147
0.014153          86.85849512          581.7129577          50526.7121
0.014154          86.8501108          574.7271647          49915.11793
0.014155          86.84274324          567.7066576          49301.2035
0.014156          86.8363739          560.651505          48684.94372
0.014157          86.83098725          553.5589651          48066.07144
0.014158          86.82658713          546.4382367          47445.36717
0.014159          86.82316147          539.2906607          46822.92011
0.01416          86.82062196          532.1180319          46198.81849
0.014161          86.81919279          524.9119009          45572.42752
0.014162          86.81865771          517.6878152          44944.96123
0.014163          86.81903208          510.4437106          44316.22889
