TIME              V(N27236)         I(R_RK2)              Pn 

0.014001          99.76902524          12.16793675          1213.98319
0.014002          99.64099443          31.89179128          3177.7298
0.014003          99.51242728          51.3909371          5114.03689
0.014004          99.3833252          70.67401126          7023.81824
0.014005          99.25368757          89.73437741          8906.46786
0.014006          99.12344253          108.5858612          10763.40437
0.014007          98.99280831          127.1976374          12591.65134
0.014008          98.86174134          145.5798354          14392.27603
0.014009          98.73024557          163.7330008          16165.39938
0.01401          98.5983104          181.6693976          17912.29565
0.014011          98.46599497          199.3441564          19628.6207
0.014012          98.33336842          216.7961336          21318.29408
0.014013          98.20035862          234.0306096          22981.88979
0.014014          98.06711748          251.023004          24617.10242
0.014015          97.93365194          267.7740736          26224.09292
0.014016          97.79995916          284.2875455          27803.31034
0.014017          97.66598153          300.5730397          29355.76094
0.014018          97.53188435          316.6128472          30879.8476
0.014019          97.39768047          332.4078169          32375.75034
0.01402          97.26336739          347.9826535          33845.96467
0.014021          97.12887724          363.2846876          35285.43383
0.014022          96.99440825          378.348138          36697.65376
0.014023          96.85992368          393.1746316          38082.86481
0.014024          96.72543987          407.7575748          39440.53078
0.014025          96.59089739          422.1057886          40771.57691
0.014026          96.45645917          436.204029          42074.69611
0.014027          96.32214621          450.053464          43350.11556
0.014028          96.18794306          463.6578112          44598.29114
0.014029          96.05378828          477.0254749          45820.10397
0.01403          95.91983228          490.1635721          47016.40763
0.014031          95.78618307          503.0073742          48181.15643
0.014032          95.6526013          515.6310618          49321.45237
0.014033          95.51932439          528.0105336          50435.20944
0.014034          95.38634934          540.1407883          51522.05793
0.014035          95.25367323          552.025397          52582.44678
0.014036          95.12132045          563.6645244          53616.51385
0.014037          94.9892256          575.0657749          54625.05263
0.014038          94.85755233          586.2175707          55607.16389
0.014039          94.72630789          597.1214777          56563.11294
0.01404          94.59537225          607.8114593          57496.15125
0.014041          94.77558715          618.2771102          58597.57614
0.014042          94.64973678          628.4942489          59486.81523
0.014043          94.52432556          638.4774255          60351.64803
0.014044          94.39948445          648.2257932          61192.18069
0.014045          94.27518658          657.7324278          62007.84735
0.014046          94.15140742          667.0014805          62799.12814
0.014047          94.02819455          676.0313938          63566.01142
0.014048          93.90565029          684.8166313          64308.15109
0.014049          93.78372867          693.3629206          65026.16002
0.01405          93.66230869          701.7000936          65722.85077
0.014051          93.54177902          709.7491855          66391.20147
0.014052          93.42177003          717.5821647          67037.79597
0.014053          93.30249584          725.1831147          67661.39454
0.014054          93.18396963          732.5474199          68261.67653
0.014055          93.06617626          739.6782924          68839.03034
0.014056          92.9490571          746.581239          69394.02221
0.014057          92.83274778          753.2500861          69926.27526
0.014058          92.71726266          759.686893          70436.0892
0.014059          92.60257824          765.8947205          70923.82578
0.01406          92.48858542          771.8968852          71391.651
0.014061          92.37560049          777.6329066          71834.30671
0.014062          92.26343995          783.1547074          72256.54732
0.014063          92.15212915          788.4589367          72658.16976
0.014064          92.04162655          793.5438486          73039.06656
0.014065          91.93206639          798.4055283          73399.07003
0.014066          91.82344982          803.046027          73738.45656
0.014067          91.71575902          807.4682588          74057.56424
0.014068          91.60893448          811.6763375          74356.80442
0.014069          91.50310445          815.6673352          74636.09337
0.01407          91.39819307          819.4615161          74897.30186
0.014071          91.29435692          823.0104325          75136.20817
0.014072          91.19152035          826.3576109          75356.80689
0.014073          91.08967036          829.5018852          75559.05329
0.014074          90.98883994          832.4388801          75742.64802
0.014075          90.88897182          835.1720196          75907.92615
0.014076          90.79017656          837.700068          76054.93708
0.014077          90.69246221          840.0252587          76183.95903
0.014078          90.59581317          842.150082          76295.27149
0.014079          90.50023707          844.0762881          76389.10418
0.01408          90.40560042          845.8230948          76467.14473
0.014081          90.31226713          847.3420205          76525.37891
0.014082          90.21998808          848.6776728          76567.68952
0.014083          90.12872938          849.8285171          76593.96444
0.014084          90.03862733          850.7895251          76603.92099
0.014085          89.94967392          851.5628792          76597.80331
0.014086          89.86185751          852.1507999          76575.85376
0.014087          89.77512334          852.5554666          76538.27217
0.014088          89.68956931          852.7783473          76485.32269
0.014089          89.60519622          852.8216576          76417.25197
0.01409          89.52188882          852.7024067          76335.53005
0.014091          89.43988676          852.37842          76236.62936
0.014092          89.35904662          851.8901143          76124.08844
0.014093          89.27935758          851.2357699          75997.78269
0.014094          89.20085053          850.4121402          75857.48621
0.014095          89.12348597          849.4206874          75703.33272
0.014096          89.04734308          848.2644348          75535.69415
0.014097          88.97242199          846.9455144          75354.79371
0.014098          88.89870042          845.4658372          75160.81418
0.014099          88.8261344          843.8263903          74953.83636
0.0141          88.75470444          842.0438973          74735.35723
0.014101          88.68473358          840.0826938          74502.50988
0.014102          88.61583745          837.9750887          74257.86425
0.014103          88.54815993          835.7229345          74001.72806
0.014104          88.48171861          833.3235756          73733.90213
0.014105          88.41649512          830.7786079          73454.53273
0.014106          88.3524556          828.0884465          73163.6477
0.014107          88.28966334          825.2579974          72861.75076
0.014108          88.2281143          822.2893526          72549.03899
0.014109          88.16779301          819.1839875          72225.64425
0.01411          88.10858601          815.9552241          71892.66104
0.014111          88.05077916          812.5702557          71547.44414
0.014112          87.99416835          809.0638251          71192.89843
0.014113          87.93874621          805.4338202          70828.8403
0.014114          87.88451442          801.6757429          70454.88339
0.014115          87.83153157          797.7956888          70071.61723
0.014116          87.77978617          793.7956715          69679.21431
0.014117          87.72926087          789.6768268          69277.76434
0.014118          87.67991846          785.4386521          68867.19697
0.014119          87.63181323          781.0876908          68448.13064
0.01412          87.58483651          776.6350532          68021.45416
0.014121          87.53924884          772.0517453          67584.82985
0.014122          87.49483274          767.3689546          67140.81833
0.014123          87.45158922          762.5844753          66689.22428
0.014124          87.40954524          757.696994          66229.94968
0.014125          87.36870917          752.7087002          65763.18752
0.014126          87.32903864          747.618479          65288.80304
0.014127          87.29058184          742.4337807          64807.47669
0.014128          87.25332488          737.1564111          64319.34783
0.014129          87.21724991          731.7872028          63824.46735
0.01413          87.18223658          726.3330548          63323.34022
0.014131          87.14860744          720.778832          62814.87148
0.014132          87.11609382          715.1443376          62300.58121
0.014133          87.08468877          709.4261205          61780.15291
0.014134          87.05445547          703.6291889          61254.05589
0.014135          87.02538996          697.7552549          60722.42315
0.014136          86.99747288          691.8049355          60185.28111
0.014137          86.97069432          685.7803593          59642.794
0.014138          86.94504085          679.6797405          59094.7828
0.014139          86.9205257          673.5114505          58541.96934
0.01414          86.89704743          667.2825251          57984.88123
0.014141          86.87485742          660.9733931          57421.96928
0.014142          86.85373542          654.607562          56855.11199
0.014143          86.83368104          648.1828496          56284.10282
0.014144          86.81472476          641.6989065          55708.91395
0.014145          86.79684447          635.1535554          55129.32436
0.014146          86.78005459          628.5555561          54546.08547
0.014147          86.76434712          621.9064669          53959.30857
0.014148          86.7497042          615.206462          53368.9786
0.014149          86.73610727          608.4532549          52774.86679
0.01415          86.7234768          601.6593503          52177.99071
0.014151          86.71207571          594.8174969          51577.85982
0.014152          86.70164435          587.9325818          50974.72161
0.014153          86.69220102          581.0042772          50368.53959
0.014154          86.68377856          574.0398046          49759.93931
0.014155          86.67636752          567.0405083          49149.0115
0.014156          86.66995775          560.0064444          48535.73488
0.014157          86.66453294          552.9349275          47919.84724
0.014158          86.66008933          545.8350679          47302.11574
0.014159          86.6566179          538.7082145          46682.6319
0.01416          86.65403033          531.556259          46061.49219
0.014161          86.65255059          524.3706505          45438.05432
0.014162          86.65196917          517.1669883          44813.53793
0.014163          86.65229244          509.9431151          44187.73994
0.014164          86.65353636          502.6948832          43560.28934
0.014165          86.65569565          495.431553          42931.96587
0.014166          86.65875893          488.1542736          42302.84352
0.014167          86.66271671          480.8627981          41672.87645
0.014168          86.66756136          473.5588953          41042.19462
